Episode,Start Time,End Time,Speaker,Transcript,Notes
2,00:02:46,00:03:08,Empfangssoldat4,"FWDLer oder SAZ? Sie sind FWDLer. Gut. Dann gibt es noch einen  Einstellungsbogen, Taschenkarten für weiterführende Ausbildung. Ein Zettel mit wichtigen Telefonnummern sollte mal was sein sollte. Sie gehen auf die Stube 24 links. Das heißt, sie gehen hoch in die Stube rein, 21, und dann hoch an der Höhe ganz nach hinten durch, rechts rum. Die Richtung. Linke Seite. Rechte Seite. Erste Stube gleich. Dann in die Richtung an an der Höhe und dann linke Stube.",
2,00:03:09,00:03:09,Nathan Palme,Gut.,
2,00:03:09,00:03:11,Empfangssoldat4,Also pst pst. Da rein.,
2,00:03:12,00:03:20,Anna-Lena Drafke,Ein wenig überwältigt. Das ist alles so neu für mich. Ach schön. Ach das gefällt mir doch wohl.,
2,00:03:20,00:03:23,Daniel Wittwer,"Können die Leute dann auch mal sehen, dass es gar nicht so schlimm ist, wie immer gesagt wird ne.",
2,00:03:24,00:03:28,Anna-Lena Drafke,"Es ist auf jeden Fall besser als so eine riesengroße Gemeinschaftsdusche, wo man mit 20 Leuten duschen muss.",
2,00:03:28,00:03:33,Daniel Wittwer,"Weil die denken ja leider Gottes viele, dass es richtig schlimm ist, wenn sie hier irgendwie zur Bundeswehr gehen.",
2,00:03:34,00:03:42,Anna-Lena Drafke,"Ich hab da extrem Respekt vor, weil ich denke nicht, dass wir bevorzugt werden. Ich glaube, wir müssen genau das machen, was auch die Männer machen müssen. Und ich glaube schon, dass das ziemlich hart wird.",
2,00:03:42,00:03:53,Hauptbootsmann Mahr,"Dann kommen sie jetzt mit. Die Kleiderbügel zählen. Kann ruhig von einem Haufen auf den anderen einmal durchzählen, dass jemand mal einen aktuellen Stand hat. ",
2,00:03:53,00:03:56,"","Im ganzen Zimmer oder nur, ...",
2,00:03:55,00:04:07,Hauptbootsmann Mahr,"Das hier, alles was hier jetzt so ist, einmal zählen. Lange her auch ziemlich verwirrend. Ich wurde in die falsche Katana gefahren damals in Eckernförde und hab meinen ersten Anschiss schon in einer fremden Kaserne bekommen, weil ich in der falschen Kaserne war.",
2,00:04:10,00:04:10,Rekrut5,Was soll ich jetzt genau machen?,
2,00:04:11,00:04:13,Hauptbootsmann Mahr,"Den Kameraden unterstützen, den Kameraden unterstützen.",
2,00:04:14,00:04:14,Rekrut5,Jawohl!,
2,00:04:15,00:04:18,Marcel Figule,"Ich weiß noch nicht so ganz genau, was mich erwartet. Bis auf Ankleidung,",
2,00:04:18,00:04:23,Anna-Lena Drafke,"Mich unten aufstellen und darauf warten, dass ich glaube ich äh Klamotten bekomme. Darauf freue ich mich wirklich am meisten.",
2,00:04:25,00:04:49,Jerome Demelius,"Digger falsche Seite. 24 war das ne, oder 23. Ne an der 23. Alter, digger Fängt schon gut an, Alter. Hier, hier liegen ja schon Sachen Digger Alter. Oh das sieht ja schon viel besser aus hier. Das nehmen wir doch einfach mal.",
2,00:04:51,00:04:53,Julia Weißhuhn,Hat er nicht links gesagt und 24. ,
2,00:04:53,00:04:55,Empfangssoldat4,24 links.,
2,00:04:55,00:05:14,Julia Weißhuhn,"Einmal Rechts und einmal links? Ich hatte nie einen Spitzer, ich habe die immer verloren und es geht schon wieder los. Ha, geht schon weiter. Ich muss das jetzt ablegen, es geht mir so auf den Nerv.",
2,00:05:15,00:05:30,Marcel Figule,"Hier ist die 22. Badezimmer. Kann schlecht darauf schlafen. Ich habe da schon Erfahrung mit gemacht. Joa, ich habe mein Bett vorbereitet, soweit wie es ging. Meine Sachen in den Spint eingepackt und jetzt sammel ich mich mit meinen Kameraden draußen.",
2,00:05:32,00:05:37,Anna-Lena Drafke,"Mehr Frauenpower wäre doch schön. Und halt auch jemanden so, mit dem ich dann auch mal reden kann.",
2,00:05:37,00:05:47,Patrick Döring,"Ich bin Patrick. Es ist halt ich habe einen DDR, also ein altes Stufung Regal. Das kenne ich von zu Hause, von meiner Freundin, die ist da voll stolz drauf. Wenn ich das zeige, dann ja.",
2,00:05:54,00:05:56,Jerome Demelius,"Assi Outfit, Jogginghose. ",
2,00:05:56,00:05:58,Empfangssoldat2,Einsteigen und dann fahren wir gleich hoch. ,
2,00:05:58,00:06:02,Stabs­gefreiter Neubert,"Drei Schalten, minus zwei schalten, gleich einschalten. Morgen wieder einschalten die Rekruten.",
